Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,report that was observ via the sec camera remov the list property and cont it on his person attempt to leav the list loc but was stop by,Washington,DC,20015,38.9599123010178,-77.085288045686,
20,A,and report whil walk eastbound in blk of hamilton st ne was approach by and stat stop and plac black handgun on head and then took the list property from and then struck,Washington,DC,20011,38.9534929224725,-76.9988553287385,
20,A,and report that whil in the hallway of the list loc through arm with hanggun and on shotgun ord them to empty their pocket and get on the flo took the list property from hit in the head and threw him,Washington,DC,20032,38.8379817486425,-76.9974807582863,
5,A,report on the list dat between the list tim unknown person ent the list loc through the front door ont insid the list property was stol,Washington,DC,20017,38.9340217451387,-76.9911176141734,
15,A,report on the list dat and tim ent the list loc and stol the list property,Washington,DC,20002,38.9207617034939,-77.0005693702349,
15,A,adv that an unknown suspect carry away the list item without permit no sign of forc entry into the resid,Washington,DC,20019,38.8777003698791,-76.930061216873,
20,A,report that plac his hand into her purs and remov the wallet whil distract the purs was on chair next to her husband chas the suspect on suspect was caught and the suspect gav the wallet back,Washington,DC,20015,38.958534264488,-77.0845872863257,
15,A,stat that she left the list loc to go to the laundrom stat that she left the list property with her sist who plac it in her dress in her bedroom at the list loc when return hom she observ the list property was gon,Washington,DC,20020,38.8687223009683,-76.968971063184,
15,A,report brok out the passeng window of his vehic and stol the list property was last seen in burgundy van toward the block of street se,Washington,DC,20019,38.87416437777,-76.9358501016975,
15,A,report for that unknown person smash the right front window to the list vehic and stol the list property,Washington,DC,20036,38.9072428238836,-77.0441671916362,
15,A,on the list dat tim and loc report to mpd that unknown person ent his vehic and took the list property,Washington,DC,20019,38.8782722288235,-76.9660698932088,
15,A,report on the list dat and tim he respond to the list loc to tow vehic from that loc he was direct to respond to the rear of kend st ne to pick up the vehic by the individ who init request the tow,Washington,DC,20002,38.9120481666361,-76.9863911916154,
15,A,report that on the list dat and tim that unknown person brok into the list vehic and took the list item,Washington,DC,20020,38.868744370939,-76.9572891053715,
15,A,report whil at the list loc left his car in park with the engin idl as he exit to mak bank transact an unknown person jump into his vehic and drov away,Washington,DC,,38.9096199094879,-77.0434692258089,
15,A,reporst on the list dat and tim unknown person stol the list tag belong to the list vehic,Washington,DC,20002,38.9172716043019,-76.9772378358998,
20,A,report that reach out with his right hand and snatch bag and fled the scen was rid bik to commit the offens,Washington,DC,20007,38.9096277528821,-77.0497750817157,
15,A,on the list dat tim and loc report to mpd that unknown person took the list vehic without permit key and reg ar with the own,Washington,DC,20019,38.8964748552384,-76.9218938591571,
15,A,report on the list dat tim and loc that unknown person took the list vehic without permit,Washington,DC,20019,38.8891497317857,-76.9187270634717,
