Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,prescrib drug stol busy,Alexandria,VA,22306,38.7753835,-77.0807899,2009-5-17
15,A,cellul phon stol busy,Alexandria,VA,22306,38.7618434,-77.0842436,2009-5-17
15,A,purs stol busy,Alexandria,VA,22306,38.7478279,-77.0833725,2009-5-17
15,A,purs stol busy,Alexandria,VA,22306,38.7478279,-77.0833725,2009-5-17
15,A,purs stol busy,Alexandria,VA,22306,38.7442279,-77.0842801,2009-5-17
15,A,bicyc stol resid,Alexandria,VA,22309,38.744725,-77.0976557,2009-5-17
15,A,video gam stol busy,Alexandria,VA,22309,38.7251029,-77.1336559,2009-5-17
17,A,chevrolet truck,Alexandria,VA,22308,38.7411148,-77.0622701,2009-5-17
17,A,dodg carav,Alexandria,VA,22309,38.7248101,-77.1165117,2009-5-17
15,A,carton cigaret stol busy,,VA,22102,38.920177,-77.226339,2009-5-17
15,A,cellul phon stol busy,,VA,22102,38.920177,-77.226339,2009-5-17
15,A,tool stol vehic,Falls Church,VA,22043,38.9165988,-77.2078871,2009-5-17
15,A,tool stol vehic,Falls Church,VA,22043,38.9165988,-77.2078871,2009-5-17
15,A,gps unit stol vehic,Falls Church,VA,22043,38.8808709,-77.1987736,2009-5-17
15,A,cellul phon notebook stol busy,,VA,22102,38.9193474,-77.2261987,2009-5-17
15,A,diamond ear diamond ring necklac stol busy,Great Falls,VA,22066,38.982272,-77.320774,2009-5-17
15,A,purs stol busy,Great Falls,VA,22066,38.982272,-77.320774,2009-5-17
15,A,tool stol vehic,Falls Church,VA,22043,38.9133407,-77.2068089,2009-5-17
15,A,tool stol vehic,Falls Church,VA,22043,38.9171489,-77.2070618,2009-5-17
15,A,champagn stol busy,Falls Church,VA,22043,38.905254,-77.207318,2009-5-17
15,A,laptop comput stol busy,MC Lean,VA,22102,38.919977,-77.213065,2009-5-17
15,A,tool stol vehic,Falls Church,VA,22043,38.9190769,-77.1964297,2009-5-17
